2023-09-18 10:57:04 936:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:57:04_2_出口_61e3e0efd3b04e919f8c3c3e22752ada_1__8011_False_/Images/Licences/2023918/6441fac45028407fa4ba2c181affba8c20230918105785.jpg_1_4892974923087663920_2023091810570493679
2023-09-18 10:57:04 937:  Return:ABC5678_No
2023-09-18 10:57:09 803:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:09 854:  ABC5678,计费处理
2023-09-18 10:57:09 855:  ABC5678 => RecognizeType = 8
2023-09-18 10:57:09 855:  ABC5678 => 並非無車牌
2023-09-18 10:57:09 855:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:57:09 855:  ABC5678 => 通道 : 2
2023-09-18 10:57:09 855:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:57:09 861:  ABC5678匹配到進場紀錄
2023-09-18 10:57:09 892:  ABC5678 = openFlag =>　False
2023-09-18 10:57:09 892:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:57:09 902:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:57:09_2_出口_2e97e1e193a04864a996fe3f40a80de9_1__8011_False_/Images/Licences/2023918/a8b2a527682645e78b5f1ef15b11fbbc20230918105783.jpg_1_4892974923087663920_2023091810570990168
2023-09-18 10:57:09 902:  Return:ABC5678_No
2023-09-18 10:57:17 903:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:17 945:  ABC5678,计费处理
2023-09-18 10:57:17 946:  ABC5678 => RecognizeType = 4
2023-09-18 10:57:17 946:  Return:ABC5678_No
2023-09-18 10:57:24 372:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:24 425:  ABC5678,计费处理
2023-09-18 10:57:24 426:  ABC5678 => RecognizeType = 8
2023-09-18 10:57:24 426:  ABC5678 => 並非無車牌
2023-09-18 10:57:24 427:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:57:24 427:  ABC5678 => 通道 : 2
2023-09-18 10:57:24 427:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:57:24 435:  ABC5678匹配到進場紀錄
2023-09-18 10:57:24 481:  ABC5678 = openFlag =>　False
2023-09-18 10:57:24 481:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:57:24 490:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:57:24_2_出口_b0774341a2d64bfe84964ed292e6e898_1__8011_False_/Images/Licences/2023918/fd1621b25b584dd9a269ee908634e94620230918105740.jpg_1_4892974923087663920_2023091810572449014
2023-09-18 10:57:24 491:  Return:ABC5678_No
2023-09-18 10:57:26 211:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:26 262:  ABC5678,计费处理
2023-09-18 10:57:26 262:  ABC5678 => RecognizeType = 4
2023-09-18 10:57:26 262:  Return:ABC5678_No
2023-09-18 10:57:30 807:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:30 912:  ABC5678,计费处理
2023-09-18 10:57:30 913:  ABC5678 => RecognizeType = 4
2023-09-18 10:57:30 913:  Return:ABC5678_No
2023-09-18 10:57:34 596:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:34 705:  ABC5678,计费处理
2023-09-18 10:57:34 705:  ABC5678 => RecognizeType = 4
2023-09-18 10:57:34 706:  Return:ABC5678_No
2023-09-18 10:57:37 773:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:38 020:  ABC5678,计费处理
2023-09-18 10:57:38 021:  ABC5678 => RecognizeType = 4
2023-09-18 10:57:38 021:  Return:ABC5678_No
2023-09-18 10:57:41 669:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:41 763:  ABC5678,计费处理
2023-09-18 10:57:41 763:  ABC5678 => RecognizeType = 4
2023-09-18 10:57:41 763:  Return:ABC5678_No
2023-09-18 10:57:49 159:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:49 208:  ABC5678,计费处理
2023-09-18 10:57:49 208:  ABC5678 => RecognizeType = 8
2023-09-18 10:57:49 208:  ABC5678 => 並非無車牌
2023-09-18 10:57:49 208:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:57:49 209:  ABC5678 => 通道 : 2
2023-09-18 10:57:49 209:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:57:49 214:  ABC5678匹配到進場紀錄
2023-09-18 10:57:49 244:  ABC5678 = openFlag =>　False
2023-09-18 10:57:49 244:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:57:49 254:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:57:49_2_出口_bec8b589e1364553b733838dfdbf1567_1__8011_False_/Images/Licences/2023918/f92aa6584a54407ea173b11489b3bdc320230918105719.jpg_1_4892974923087663920_2023091810574925492
2023-09-18 10:57:49 255:  Return:ABC5678_No
2023-09-18 10:57:50 191:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:50 242:  ABC5678,计费处理
2023-09-18 10:57:50 243:  ABC5678 => RecognizeType = 4
2023-09-18 10:57:50 243:  Return:ABC5678_No
2023-09-18 10:57:53 293:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:53 336:  ABC5678,计费处理
2023-09-18 10:57:53 336:  ABC5678 => RecognizeType = 4
2023-09-18 10:57:53 336:  Return:ABC5678_No
2023-09-18 10:57:58 461:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:58 511:  ABC5678,计费处理
2023-09-18 10:57:58 511:  ABC5678 => RecognizeType = 8
2023-09-18 10:57:58 511:  ABC5678 => 並非無車牌
2023-09-18 10:57:58 511:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:57:58 511:  ABC5678 => 通道 : 2
